StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,UDALGURI,ODALGURI,KHOWRANG VCDC,1386,645
Assam,UDALGURI,ODALGURI,AMJULI VCDC,2204,1051
Assam,UDALGURI,ODALGURI,SONAIGAON VCDC,2448,1098
Assam,UDALGURI,ODALGURI,MERBANGCHUBA VCDC,1397,1165
Assam,UDALGURI,BHERGAON,HAHCHARA VCDC,1015,366
Assam,UDALGURI,BHERGAON,BAMUNJULI VCDC,1147,636
Assam,UDALGURI,BHERGAON,MWILAPARA VCDC,694,570
Assam,UDALGURI,MAZBAT,LAMABARI VCDC,1598,631
Assam,UDALGURI,MAZBAT,RANGAPANI VCDC,1409,342
Assam,UDALGURI,ROWTA,ROWTA STATION VCDC,1837,441
Assam,UDALGURI,KALAIGAON,NAPTIPARA VCDC,2237,1470
Assam,UDALGURI,KALAIGAON,DUMURUGURI VCDC,1068,161
Assam,UDALGURI,KHOIRABARI,JHARGAON VCDC,1771,1335
Assam,UDALGURI,PUB-MANGALDAI,BHAKATPARA VCDC,1177,106
Assam,UDALGURI,ODALGURI,SAPKHAITI VCDC,1753,468
Assam,UDALGURI,ODALGURI,GHAGRA VCDC,1533,497
Assam,UDALGURI,ODALGURI,SASTRAPARA VCDC,1481,920
Assam,UDALGURI,ODALGURI,KHAIRAJUNGAL VCDC,1160,637
Assam,UDALGURI,BHERGAON,PANESHELI VCDC,998,124
Assam,UDALGURI,BHERGAON,PASCHIM PATLA VCDC,639,602
Assam,UDALGURI,BHERGAON,RAJAGARH VCDC,1102,591
Assam,UDALGURI,BHERGAON,NO. 1 SONAJULI VCDC,1615,321
Assam,UDALGURI,MAZBAT,ROWTAGAON VCDC,755,513
Assam,UDALGURI,MAZBAT,ALABARI VCDC,1394,579
Assam,UDALGURI,ROWTA,EKRABARI VCDC,2750,1865
Assam,UDALGURI,KALAIGAON,NIZ KALAIGAON VCDC,348,72
Assam,UDALGURI,KALAIGAON,CHENGAPATHAR VCDC,2238,1907
Assam,UDALGURI,KHOIRABARI,KUHIARKUCHI VCDC,2839,2025
Assam,UDALGURI,PUB-MANGALDAI,MUDOIBARI VCDC,1297,758
Assam,UDALGURI,ODALGURI,AMBAGAON VCDC,1343,510
Assam,UDALGURI,ODALGURI,BANGAON VCDC,1235,1096
Assam,UDALGURI,ODALGURI,KHAMABARI VCDC,969,463
Assam,UDALGURI,ODALGURI,BORNAGAON VCDC,1012,217
Assam,UDALGURI,BHERGAON,RUPAKHAT VCDC,2220,1027
Assam,UDALGURI,BHERGAON,DIMAKUCHI VCDC,2082,1416
Assam,UDALGURI,BHERGAON,GOYBARI VCDC,1346,981
Assam,UDALGURI,BHERGAON,NONAIKHUTI VCDC,641,478
Assam,UDALGURI,MAZBAT,NAOHERUA VCDC,569,494
Assam,UDALGURI,MAZBAT,GELABIL VCDC,2226,1358
Assam,UDALGURI,ROWTA,DHANSIRI VCDC,1182,328
Assam,UDALGURI,KALAIGAON,KACHARITOL VCDC,1714,1387
Assam,UDALGURI,KALAIGAON,MAJORCHUBA VCDC,796,604
Assam,UDALGURI,KHOIRABARI,MAHALIAPARA VCDC,1172,879
Assam,UDALGURI,PASCHIM-MANGALDAI,MUDOIBARI VCDC,765,171
Assam,UDALGURI,ODALGURI,BORIGAON VCDC,1848,775
Assam,UDALGURI,ODALGURI,HARISINGA VCDC,1751,1174
Assam,UDALGURI,ODALGURI,UDALGURI VCDC,1832,1000
Assam,UDALGURI,ODALGURI,MURMELA VCDC,1179,421
Assam,UDALGURI,BHERGAON,GOPCHACHUBA VCDC,1226,1036
Assam,UDALGURI,BHERGAON,NAGACHUBA VCDC,980,634
Assam,UDALGURI,BHERGAON,KHASIACHUBA VCDC,641,137
Assam,UDALGURI,MAZBAT,BAHIPUKHURI VCDC,2200,589
Assam,UDALGURI,MAZBAT,66 DHANSIRI VCDC,1790,945
Assam,UDALGURI,ROWTA,BARIGAON VCDC,583,297
Assam,UDALGURI,ROWTA,BARNAGAON VCDC,161,31
Assam,UDALGURI,KALAIGAON,JHARGAON KADAMGURI VCDC,1244,256
Assam,UDALGURI,KHOIRABARI,NIZ-CHINAKONA VCDC,1915,1530
Assam,UDALGURI,DALGAON-SIALMARI,KOUPATI VCDC,996,293
Assam,UDALGURI,ODALGURI,ALABARI VCDC,797,313
Assam,UDALGURI,ODALGURI,SANTIPUR VCDC,2600,1242
Assam,UDALGURI,ODALGURI,CHUMUAPARA VCDC,1453,505
Assam,UDALGURI,ODALGURI,PURANDIA VCDC,1212,1028
Assam,UDALGURI,BHERGAON,TENKIBASTI VCDC,1143,188
Assam,UDALGURI,BHERGAON,KALIKHOLA VCDC,1403,1242
Assam,UDALGURI,BHERGAON,BHOLATAR VCDC,556,442
Assam,UDALGURI,MAZBAT,MAZBAT VCDC,1834,604
Assam,UDALGURI,MAZBAT,64 DHANSIRI VCDC,1630,190
Assam,UDALGURI,ROWTA,KAJIAMATI VCDC,854,626
Assam,UDALGURI,ROWTA,PHUHURABARI VCDC,1559,809
Assam,UDALGURI,KALAIGAON,GERUA VCDC,2311,454
Assam,UDALGURI,KALAIGAON,BHAKATPARA VCDC,817,45
Assam,UDALGURI,BORSOLA,KACHARISON VCDC,2882,1935
